date,CCSI_lag18,CPI_lag1,ESI_lag18,GDP_lag18,PPI_lag6,base_rate_lag1,broad_liquidity_lag18,broad_money_lag18,business_survey_lag18,capital_account_lag3,capital_investment_lag18,coincident_lag6,credit_card_spending_lag3,current_account_lag12,deposit_rate_lag1,economic_growth_rate_lag18,employment_lag18,export_price_lag12,export_value_lag6,financial_account_lag12,financial_institution_liquidity_lag18,household_credit_lag1,import_price_lag6,import_value_lag12,industrial_production_lag6,kosdaq_index_lag1,labor_force_participation_rate_lag18,land_price_change_lag1,leading_price_lag18,loan_rate_lag1,loans_outstanding_lag18,manufacturing_capacity_utilization_lag12,manufacturing_output_lag12,manufacturing_production_lag12,monetary_base_lag18,retail_sales_lag1,service_production_lag3,terms_of_income_trade_lag6,terms_of_trade_lag3,total_deposits_lag18,unemployment_lag3,us_CPI_lag3,us_industrial_production_lag18,us_policy_rate_lag1,target
2011-02-01,118.3,88.288,105.2,3.1,96.6,2.75,2383597.7,1380776.9,81.0,-2.1,61.9,76.2,44316792.0,1799.2,3.46,3.051,23797.0,125.26,83.64,-1560.1,1939450.4,855514.6,126.68,79.5,84.3,521.38,61.1,0.091,69.7,5.64,956229.6,112.629,83.243,83.255,61272.8,81.3,84.3,69.5,100.54,717468.9,3.3,100.34,85.8,0.29,3.0
2011-03-01,117.8,88.892,108.7,3.1,97.16,2.75,2390541.5,1384414.2,84.0,22.5,68.3,76.1,45788120.0,1246.0,3.62,3.051,23983.0,124.72,85.49,327.7,1946611.1,855514.6,126.54,91.34,84.2,504.46,61.1,0.089,70.0,5.66,958578.1,113.998,84.878,85.048,59567.0,81.3,84.9,69.65,99.55,735366.3,3.7,100.52,86.6,0.28,3.0
2011-04-01,123.0,89.238,111.2,0.7,97.52,3.0,2397783.9,1394094.4,88.0,-17.1,66.0,76.0,44348384.0,3022.3,3.67,0.732,24038.0,125.05,94.69,-2308.1,1955741.5,855514.6,124.95,91.02,84.7,525.42,60.9,0.108,70.6,5.78,958048.5,114.003,85.966,86.112,63396.7,81.3,86.8,76.15,97.4,740219.1,3.6,100.99,86.8,0.28,3.0
2011-05-01,118.1,89.325,113.0,0.7,97.85,3.0,2410678.8,1400475.5,85.0,-5.4,72.1,76.3,39286019.0,6477.1,3.68,0.732,23983.0,128.15,93.09,4537.5,1954193.7,877178.2,127.37,89.18,85.1,511.0,61.0,0.098,71.2,5.7,963885.1,113.438,86.628,86.767,61337.1,82.0,84.6,73.26,97.42,747499.5,3.6,101.49,87.2,0.23,3.25
2011-06-01,116.5,89.497,114.3,0.7,98.76,3.0,2420301.2,1399323.9,89.0,-7.5,72.8,76.8,45802472.0,3207.0,3.67,0.732,23406.0,131.88,96.64,4805.0,1960945.4,877178.2,133.08,89.38,86.1,484.54,60.7,0.097,71.6,5.76,953505.2,113.384,86.834,86.975,62546.4,82.0,86.0,74.69,96.27,751272.7,3.7,102.48,87.5,0.21,3.25
2011-07-01,117.1,89.67,115.2,2.3,100.28,3.25,2438565.8,1406577.5,89.0,-3.2,73.1,77.6,43365817.0,3154.9,3.7,2.343,23041.0,131.02,92.72,2039.1,1971124.1,877178.2,132.46,90.19,88.3,479.55,61.3,0.1,71.9,5.8,955782.2,113.62,87.427,87.43,64920.3,82.0,86.3,69.92,95.16,774427.7,3.5,103.14,88.5,0.22,3.25
2011-08-01,114.5,90.102,115.7,2.3,101.03,3.25,2468580.5,1425069.1,89.0,5.2,77.9,77.7,47226380.0,3653.2,3.79,2.343,23047.0,127.49,84.29,2582.0,1993716.1,891271.6,136.18,90.29,84.8,536.05,61.0,0.101,71.9,5.86,958052.8,110.856,86.94,87.017,64923.8,81.9,86.3,62.22,91.08,792552.4,3.3,103.63,88.8,0.24,3.25
2011-09-01,114.5,90.707,116.1,2.3,102.24,3.25,2480566.7,1435032.5,89.0,-11.7,80.1,78.0,45181924.0,3945.5,3.77,2.343,23560.0,126.41,104.67,3475.1,2008531.3,891271.6,141.08,89.76,87.7,493.44,60.9,0.094,71.9,5.84,962695.9,111.637,87.031,87.035,65521.8,81.9,86.8,74.42,91.94,792910.8,3.3,103.52,89.4,0.29,3.25
2011-10-01,114.1,90.62,116.4,1.6,102.87,3.25,2500844.0,1448987.9,94.0,0.1,77.8,77.8,44452984.0,1636.4,3.71,1.616,24116.0,122.68,103.84,2737.3,2023391.6,891271.6,141.95,93.89,86.7,449.66,61.1,0.094,72.0,5.76,967784.2,112.68,87.918,87.986,64446.3,81.9,87.5,71.72,92.2,801374.8,3.4,103.61,89.7,0.33,3.25
2011-11-01,114.2,90.448,116.6,1.6,103.18,3.25,2517244.0,1456909.3,95.0,-3.3,74.1,78.4,46411423.0,1293.3,3.71,1.616,24495.0,123.37,103.59,4381.8,2031501.0,916162.2,138.92,98.61,87.1,490.69,61.2,0.095,72.2,5.77,974047.5,113.191,88.466,88.543,67868.6,81.8,88.1,69.14,91.39,826075.3,3.2,103.89,90.9,0.37,3.25
