date,base_rate,unemployment,coincident,leading_price,ESI,export_price,manufacturing_capacity_utilization,economic_growth_rate,CCSI,us_industrial_production,kosdaq_index,capital_account,us_policy_rate,land_price_change,GDP,current_account,us_CPI,employment,business_survey,industrial_production,capital_investment,CPI,monetary_base,broad_money,terms_of_trade,export_value,retail_sales,labor_force_participation_rate,credit_card_spending,manufacturing_production,manufacturing_output,service_production,PPI,financial_institution_liquidity,broad_liquidity,deposit_rate,loan_rate,total_deposits,loans_outstanding,import_price,terms_of_income_trade,import_value,financial_account,household_credit
200001,4.75,5.0,46.5,50.3,,141.31,108.883,1.995,,90.7,,-7.9,5.95,,2.0,1403.5,77.41,20210.0,,52.5,52.0,62.456,,,184.0,28.92,51.6,61.0,,44.949,44.787,55.0,76.45,,,7.15,8.59,326441.0,256737.6,75.71,37.74,32.57,-734.3,
200002,5.0,4.8,46.7,50.5,,137.81,108.079,1.995,,90.9,,0.9,6.01,,2.0,-145.1,77.87,20235.0,,52.6,53.8,62.647,,,187.18,28.88,51.6,60.9,,44.872,44.714,55.0,76.26,,,7.24,8.64,343188.4,259581.8,76.03,37.17,30.85,683.0,
200003,5.0,4.5,47.1,50.7,,135.3,109.169,1.995,,91.3,,1.0,6.14,,2.0,261.6,78.51,20696.0,,53.6,55.3,62.962,,,181.99,33.15,51.6,61.0,,45.293,45.124,55.6,76.21,,,7.24,8.79,347710.3,266964.5,75.99,42.37,36.48,-402.7,
200004,5.0,4.5,47.5,50.6,,133.88,107.281,1.541,,91.8,,0.6,6.28,,1.5,-450.2,78.56,21115.0,,53.4,59.6,62.709,,,178.94,31.13,53.5,60.9,,44.922,44.734,55.0,75.84,,,7.19,8.61,357049.8,277224.1,73.99,39.42,34.5,-45.3,
200005,5.0,4.4,48.0,50.7,,134.99,112.181,1.541,,92.1,,0.0,6.71,,1.5,1201.5,78.65,21420.0,,54.9,56.4,62.393,,,181.33,33.92,53.5,61.1,,46.63,46.448,56.2,75.66,,,7.06,8.62,363953.3,285120.7,75.57,43.7,34.14,789.8,
200006,5.0,4.2,48.5,50.9,,136.87,109.479,1.541,,92.1,,3.4,6.73,,1.5,1667.0,79.06,21476.0,,55.1,55.9,62.709,,,179.83,35.17,53.5,61.0,,46.057,45.875,57.0,75.84,,,7.01,8.49,376367.6,288363.9,76.78,44.89,34.0,1134.5,
200007,5.0,4.1,49.2,51.1,,138.47,113.651,2.746,,91.9,,-0.1,6.67,,2.7,290.0,79.25,21616.0,,55.7,55.9,62.962,,,179.5,34.09,54.2,61.3,,47.655,47.467,56.9,75.92,,,6.98,8.51,376827.8,296559.6,75.94,42.79,35.34,-79.6,
200008,5.0,4.2,49.5,51.5,,139.76,114.029,2.746,,91.7,,-1.7,6.61,,2.7,2123.8,79.25,21380.0,,55.4,61.9,63.277,,,183.16,34.67,54.2,61.4,,48.454,48.28,56.4,75.92,,,6.96,8.41,382005.3,301499.2,76.0,43.78,34.58,826.6,
200009,5.0,4.5,49.7,51.3,,139.13,110.925,2.746,,92.1,,12.8,6.6,,2.7,1548.9,79.66,21561.0,,54.9,57.3,64.098,,,184.52,35.72,54.2,61.5,,47.244,47.073,56.4,76.17,,,6.83,8.43,383965.1,303973.2,77.85,45.08,34.46,2663.3,
200010,5.25,4.1,49.7,50.8,,135.79,109.83,-0.332,,91.7,,11.3,6.67,,-0.3,616.0,79.8,21731.0,,54.9,57.0,64.035,,,179.17,35.88,53.3,61.5,,46.813,46.633,56.5,76.09,,,6.88,8.51,388939.4,310064.9,78.3,44.36,36.39,1822.4,
200011,5.25,4.2,49.8,49.8,,132.87,108.563,-0.332,,91.8,,8.8,6.65,,-0.3,571.6,79.84,21566.0,,54.4,53.0,63.656,,,173.36,34.52,53.3,61.3,,46.17,45.993,56.9,76.06,,,6.82,8.53,396237.6,314745.1,79.32,42.75,36.69,1209.2,
